时间,Speedrunid,Bilibiliid,Liveroom,Type,Game,total,ranking,Link,特殊情况（符合条件的参加者勾选）,视频内容使用许可（我同意 RIT19 活动在特别节目中使用我的视频内容）,备注或其他提问（有特殊需求或疑问的参与者填写）,,,
2019/06/09 17:21:35,poissonhp,方傀儡,,我要更新原有成绩,武士 零  all stage normal katana prism,46,10,https://www.speedrun.com/user/poissonhp,,同意,,,,
2019/06/06 18:34:26,poissonhp,方傀儡,,我要更新原有成绩,【武士 零】all stage normal katana action only,38,12,https://www.speedrun.com/katana_zero/run/yoj4n45m,,同意,,,,
2019/06/03 11:52:16,poissonhp,方傀儡,,我要提交新项目的成绩,"KATANA ZERO  All Stages - Action Only, Katana",25,16,https://www.speedrun.com/katana_zero/run/zxkvd1gm,,同意,,,,
2019/05/31 14:11:17,Arsenbor,Arsenbor,https://live.bilibili.com/4548508,我要提交新项目的成绩,之狼  Glitchless,30,16,https://www.speedrun.com/sekiro/run/zqr6kj1y,,同意,,,,
2019/05/30 17:21:58,simeng.,痴人思梦,,我要提交新项目的成绩,"只狼/修罗结局No Airswim,Any%",27,1,https://www.speedrun.com/sekiro#Shura_Ending,,同意,,,,
2019/05/27 11:53:16,Atc,Sviciide,,我要更新原有成绩,Darksiders 3 / All Sins PC / Patch 1,11,1,https://www.speedrun.com/Darksiders_3/run/y813g2dz,,同意,,,,
2019/05/27 11:36:28,peony,,https://www.douyu.com/756159,我要提交新项目的成绩,"洛克人11 / Mega Man 11, Any% No OoB (Normal)",74,2,http://megamanleaderboards.net/index.php?game=143&category=759,我的成绩不在 speedrun 上（一些特定的游戏，成绩不体现在 speedrun）,同意,,,,
2019/05/23 19:27:46,CShadowShen,我尼玛爆啊,,我要提交新项目的成绩,只狼 影逝二度/Sekiro Shadows die twice，shura ending glitchless,28,17,https://www.speedrun.com/sekiro/run/zgk3ek0y,,同意,,,,
2019/05/22 12:52:02,E1uM4y,E1uM4y,,我要提交新项目的成绩,"Sekiro,Immortal Severance Ending,Glitchless",15,1,https://www.speedrun.com/sekiro/run/zxk98dgm,,同意,,,,
2019/05/22 12:49:41,E1uM4y,E1uM4y,,我要提交新项目的成绩,"Sekiro,Shura Ending,Glitchless",27,1,https://www.speedrun.com/sekiro/run/mreje08y,,同意,,,,
2019/05/21 22:27:38,Hillman,爬山姗,https://live.bilibili.com/1117442,我要提交新项目的成绩,Celeste Clear Level: Old Site,101,20,https://www.speedrun.com/Celeste/run/z1jdpl9z,,同意,,,,
2019/05/14 18:12:26,LetMeSees,海边油条,,我要提交新项目的成绩,只狼（Glitchless）,25,17,https://www.speedrun.com/sekiro#Shura_Ending,,同意,,,,
2019/05/14 12:03:45,bilibili_xiaozhi,Ashes小志,https://live.bilibili.com/10445,我要更新原有成绩,"Sekiro Shura Ending - PC, Glitchless",25,2,https://www.speedrun.com/sekiro/run/yj4nvv3y,,同意,,,,
2019/05/10 16:39:37,BlackCYC12,黑化由岐,https://live.bilibili.com/826661?visit_id=1pupysv0w8zk,我要提交新项目的成绩,Bloodborne/Any% Current Patch,74,28,https://www.speedrun.com/bloodborne/run/me8r1q0m,,同意,,,,
2019/05/09 23:47:10,Mu_Patchouli_Q,姆·帕秋莉·Q,,我要提交新项目的成绩,Duet Story%,12,5,https://www.speedrun.com/Duet/run/mr8pl02y,,同意,Rua!,,,
2019/05/04 17:39:44,Mazirika,YYの物语,www.douyu.com/40640,我要更新原有成绩,只狼 / sekiro  shuna  ending   any%,42,1,https://www.speedrun.com/sekiro/run/m3oe1dqm,,同意,,,,
2019/05/03 19:17:33,Mazirika,YYの物语,www.douyu.com/40640,我要提交新项目的成绩,只狼 / sekiro   shuna ending any%,42,1,https://www.speedrun.com/sekiro/run/m3oe1dqm,,同意,,,,
2019/04/30 23:20:16,DemoJameson,DemoJameson,https://live.bilibili.com/10921,我要提交新项目的成绩,Celeste Any%,855,18,https://www.speedrun.com/Celeste/run/z03gvnoz,,同意,,,,
2019/04/29 16:11:38,skygrass,幻金皓月,,我要提交新项目的成绩,只狼 无邪道,4,1,http://www.bilibili.com/video/av50591640,,同意,,,,
2019/04/28 02:39:43,bilibili_xiaozhi,Ashes小志,https://live.bilibili.com/10445,我要更新原有成绩,"Sekiro Shura Ending - PC, Glitchless",6,1,https://www.speedrun.com/sekiro/run/z11evgjz,,同意,,,,
2019/04/27 19:50:34,LanQiu,BBBasketball丶,斗鱼3075488,我要提交新项目的成绩,仁王PS4版Any%,3,1,https://www.speedrun.com/nioh#Any,,同意,风大佬天下第一,,,
2019/04/27 18:40:18,bilibili_xiaozhi,Ashes小志,10445,我要提交新项目的成绩,"Sekiro Shura Ending - PC, Glitchless",5,1,https://www.speedrun.com/sekiro/run/yd37jkvz,,同意,,,,
2019/04/27 03:45:06,peony,,https://www.douyu.com/756159,我要提交新项目的成绩,"Chip 'N Dale: Rescue Rangers, Any%",207,15,https://www.speedrun.com/chipndale/run/y897wvxm,,同意,,,,
2019/04/26 16:00:41,Pegaiur,Pegaiur,huya.com/pegaiur,我要更新原有成绩,"Resident Evil 2 (2019) New Game (PC) - Leon, Standard, 120",112,11,https://www.speedrun.com/re2remake/run/yj40o2ny,,同意,,,,
2019/04/26 07:10:49,Atc,Sviciide,,我要提交新项目的成绩,Darksiders 3 All Sins PC - Patch 1,11,2,https://www.speedrun.com/Darksiders_3/run/yl48le2m,,同意,,,,
2019/04/22 16:39:38,PerryAozaki,苍崎家的佩里,,我要提交新项目的成绩,鬼泣5/NG+ Human/序章,9,2,https://www.speedrun.com/dmc5/run/mk962d1z,,同意,,,,
2019/04/22 16:34:02,Mazirika,YYの物语,www.douyu.com/40640,我要提交新项目的成绩,只狼 / sekiro ，Shura Ending  any%,46,3,https://www.speedrun.com/user/Mazirika,,同意,,,,
2019/04/22 16:28:04,Mazirika,YYの物语,www.douyu.com/40640,我要提交新项目的成绩,只狼 / Sekiro ， Immortal Severance Ending  any%,17,1,https://www.speedrun.com/user/Mazirika,,同意,,,,
2019/04/22 14:26:39,PerryAozaki,苍崎家的佩里,,我要提交新项目的成绩,鬼泣5/Console/NG+ Human,4,1,https://www.speedrun.com/dmc5/run/y2q4wgjy,,同意,,,,
2019/04/21 13:02:44,Hillman,爬山姗,https://live.bilibili.com/1117442,我要提交新项目的成绩,Celeste Any%,847,76,https://www.speedrun.com/Celeste/run/y92r9xvz,,同意,,,,
2019/04/09 09:05:08,jxy768,jxy768,,我要提交新项目的成绩,"植物大战僵尸2（国际版）/Plants Vs. Zombies 2, All Worlds--Purist F2P",1,1,https://www.speedrun.com/pvz2/run/zq3o0e5y,,同意,,,,
2019/04/01 14:56:35,yinger,影儿i,https://live.bilibili.com/867985,我要提交新项目的成绩,剑王 Any%,1,2,https://www.speedrun.com/Sword_Master/run/y6p47o6m,,同意,,,,